MutationType	5FU.PATIENT10.LIVN.CLONE1	5FU.PATIENT10.LIVN.CLONE4	5FU.PATIENT11.LIVN.CLONE4	5FU.PATIENT14.LIVN.CLONE1	5FU.PATIENT6.LivN.CLONE2	5FU.PATIENT6.LivN.CLONE5	5FU.PATIENT7.LivN.CLONE1	5FU.PATIENT7.LivN.CLONE4	5FU.PATIENT8.LivN.CLONE13	5FU.PATIENT8.LivN.CLONE15	5FU.PATIENT9.LivN.CLONE3	c080216DCLONE2	c080216DCLONE3	c110116DCLONE2	c150216DCLONE2	c180516DCLONE6	C30913DClone10	C30913DClone12	C30913DClone13	Healthy15CLONE1	Healthy15CLONE2	Healthy16CLONE1	Healthy17CLONE10	Healthy17CLONE3	Healthy17CLONE4	LiverC150216DHealthyPO	LiverC150216DHealthyPOA
1:Del:T:4	5	4	4	4	6	9	2	4	7	4	2	9	4	7	4	6	0	0	0	4	1	6	2	5	5	5	6
1:Del:T:5	3	8	13	8	5	8	5	7	8	5	11	11	3	10	6	7	5	6	2	12	8	5	11	9	11	11	19
1:Ins:C:0	0	1	0	1	0	1	2	0	1	3	2	2	0	0	3	1	2	1	3	0	2	1	3	2	4	15	16
1:Ins:C:1	0	1	2	1	1	0	0	1	1	1	2	1	0	1	2	1	2	1	4	0	0	2	0	1	2	7	6
1:Ins:C:2	0	0	0	1	3	2	1	1	1	1	1	1	1	1	0	2	0	0	5	1	1	2	0	1	2	3	1
1:Ins:C:3	1	0	0	1	0	0	0	0	1	0	1	0	1	0	2	0	1	2	7	0	0	0	0	1	1	2	2
1:Ins:C:4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	1	2
1:Ins:C:5	2	0	0	0	0	0	2	2	1	2	0	1	2	3	1	1	3	0	5	1	0	0	0	2	2	2	5
1:Ins:T:0	3	2	2	1	2	2	0	1	3	1	1	3	2	3	1	3	1	3	2	3	0	4	0	0	3	12	11
1:Ins:T:1	3	5	2	4	8	6	7	2	3	2	3	5	1	7	1	3	2	3	4	2	2	5	2	7	7	5	3
1:Ins:T:2	1	3	2	1	2	4	3	0	4	1	0	2	2	5	3	3	0	3	3	2	0	4	0	1	3	6	3
1:Ins:T:3	1	2	2	2	5	2	1	0	2	0	1	1	2	7	1	1	5	1	3	2	2	0	2	1	3	1	1
1:Ins:T:4	2	1	0	0	0	1	1	0	0	0	2	1	1	1	0	0	1	1	3	1	0	1	0	1	0	1	0
1:Ins:T:5	10	14	4	11	12	19	7	9	10	9	8	13	12	15	9	14	10	7	10	1	5	18	7	15	12	18	23
2:Del:R:0	3	2	1	3	7	4	1	5	2	1	1	3	6	3	0	2	2	3	3	0	1	11	5	3	8	6	1
2:Del:R:1	4	3	1	3	6	3	3	5	0	2	3	4	6	2	0	0	2	1	3	0	4	3	5	6	7	1	2
2:Del:R:2	0	2	0	1	3	2	0	2	0	1	1	0	2	2	1	1	1	0	0	1	1	1	0	1	1	4	2
2:Del:R:3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	3	0
2:Del:R:4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
2:Del:R:5	2	1	1	0	0	2	0	0	2	0	0	1	2	0	0	0	0	2	1	1	1	2	0	1	10	12	2
3:Del:R:0	1	1	1	3	2	2	2	1	2	0	0	2	2	3	0	2	0	2	0	1	2	1	1	2	2	1	2
3:Del:R:1	3	2	0	1	4	3	2	1	1	3	1	5	5	4	3	3	3	5	4	1	2	7	2	2	2	3	3
3:Del:R:2	1	0	1	1	2	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1
3:Del:R:3	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0
3:Del:R:4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
3:Del:R:5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:0	1	1	0	0	1	3	4	1	0	0	1	2	2	3	1	1	0	0	0	0	1	1	1	0	0	2	0
4:Del:R:1	3	3	1	2	7	6	4	3	4	2	4	2	6	3	2	3	0	1	1	5	5	3	5	6	8	3	2
4:Del:R:2	0	0	0	0	1	2	1	2	1	0	1	2	0	2	0	1	1	1	0	0	2	1	0	2	5	0	0
4:Del:R:3	1	1	0	0	1	0	0	1	0	0	1	2	1	0	1	1	0	0	0	0	0	0	1	0	2	1	1
4:Del:R:4	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	1	1	0
4:Del:R:5	0	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
5:Del:R:0	3	8	3	11	14	17	6	8	8	2	14	9	8	14	5	11	3	2	5	2	6	14	5	11	17	4	8
5:Del:R:1	0	1	1	0	1	1	1	1	0	2	0	5	0	3	0	0	0	2	0	2	0	1	1	1	0	3	0
5:Del:R:2	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
5:Del:R:3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	3	4	6	3	3	2	4	3	3	2	0	5	2	1	0	1	2	1	5	2	1	3	2	4	8	24	16
2:Ins:R:1	0	2	0	1	2	0	1	0	1	1	0	1	1	4	2	3	0	2	2	1	1	1	1	1	1	5	1
2:Ins:R:2	0	0	1	1	0	0	0	0	0	0	2	1	0	1	1	0	0	1	1	0	0	1	3	1	3	1	1
2:Ins:R:3	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1
2:Ins:R:4	0	2	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0
2:Ins:R:5	1	1	1	0	0	2	2	0	0	0	2	1	2	1	2	1	1	0	0	1	1	1	0	1	2	3	1
3:Ins:R:0	0	1	0	0	1	0	0	1	1	1	0	1	2	1	0	3	0	0	3	2	0	0	1	2	2	12	7
3:Ins:R:1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	2	2	3	2	1	1
3:Ins:R:2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:0	1	0	1	1	0	3	1	3	2	1	1	0	0	2	1	0	0	0	0	1	2	1	1	0	5	8	4
4:Ins:R:1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	2	1
4:Ins:R:2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
4:Ins:R:4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
4:Ins:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:0	5	3	6	6	4	3	2	3	5	2	1	5	4	5	4	5	4	5	5	4	2	5	0	5	6	8	7
5:Ins:R:1	1	3	0	1	3	1	5	2	2	1	2	7	5	2	0	2	2	2	4	1	3	0	0	2	7	0	1
5:Ins:R:2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Del:M:1	0	3	0	4	5	6	4	1	2	0	5	2	4	6	3	3	2	2	5	1	1	4	2	4	6	8	1
3:Del:M:1	0	2	0	0	1	1	1	4	1	0	0	2	1	1	0	1	1	0	0	2	2	1	1	0	1	0	0
3:Del:M:2	2	1	0	4	3	3	2	3	4	0	3	2	1	0	0	4	2	1	1	0	0	3	4	2	5	1	1
4:Del:M:1	0	2	2	1	2	1	0	1	1	2	0	0	1	1	2	2	1	2	1	1	1	2	1	4	1	2	3
4:Del:M:2	0	1	3	3	2	0	3	3	0	0	2	3	6	4	2	5	1	2	3	0	0	2	2	3	4	2	2
4:Del:M:3	3	3	0	3	4	4	2	2	2	2	4	2	2	3	1	3	2	3	2	3	1	3	1	6	6	0	2
5:Del:M:1	6	12	3	5	10	8	6	8	2	6	4	10	4	6	4	11	2	4	2	4	2	5	8	4	11	7	6
5:Del:M:2	4	2	1	5	8	6	8	7	0	3	4	3	7	4	1	7	3	3	5	4	0	4	6	9	11	3	4
5:Del:M:3	2	1	0	1	5	3	2	3	2	3	7	5	0	1	3	2	1	0	2	2	0	2	2	1	1	2	4
5:Del:M:4	1	0	0	1	6	1	1	1	1	0	1	2	2	1	0	1	1	1	2	0	0	2	2	0	2	0	0
5:Del:M:5	2	1	2	2	2	1	0	0	0	1	0	2	1	2	0	1	0	1	0	0	1	2	2	1	0	0	1
